Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 33, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 1741d6, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 34, TIDL_EltWiseLayer, 256, 40, 40, 128, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 128, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 13e156, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 1741d6, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 36000, ,,,,,,,, 
 36, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 1741d6, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 37, TIDL_EltWiseLayer, 256, 40, 40, 128, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 128, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 13e156, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 28, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, d20d6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 38, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 256, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, 108a56, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39, TIDL_ConvolutionLayer, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 640, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1344, 1344, 256, 344704, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54280, MSMC, DMA_ONCE, 320, 257, 256, 81920, 0, 7a5900, 
 40, TIDL_ConvolutionLayer, 256, 40, 40, 512, 20, 20, 256, ROW_L, 42, 42, 246, 1682, 7, 56, 56,,,,,,,,, L2, DMA, 576, 576, 256, 148736, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 28a1ea, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24500, MSMC, DMA_ONCE, 2368, 2305, 512, 1212416, 0, 4c1900, 
 41, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 1621ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 42, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 18626a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 1f226a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 0, 1,,,,,,,,, L2, DMA, 588, 588, 256, 150528, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 18626a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
